epoch,train time(s),loss,valid time(s),accu
1,10.671339988708496,99.3916186094284,1.9302899837493896,0.3468
2,10.677519798278809,78.65536284446716,1.9036884307861328,0.4565
3,10.366822004318237,68.32573020458221,1.9224414825439453,0.5355
4,10.271650075912476,59.348127126693726,1.950395107269287,0.5924
5,10.18108057975769,52.68413120508194,1.8974785804748535,0.6242
6,10.251207113265991,47.13182109594345,1.890925407409668,0.6617
7,10.25063180923462,43.07625609636307,1.9199838638305664,0.6953
8,10.38887095451355,38.24266344308853,1.8784446716308594,0.7084
9,10.344947099685669,34.35527592897415,1.9511120319366455,0.7208
10,10.38249683380127,31.54383021593094,1.8886737823486328,0.728
11,10.352710247039795,28.656477957963943,1.8758914470672607,0.7336
12,10.331889867782593,25.145509958267212,1.901676893234253,0.7463
13,10.294448614120483,22.425630062818527,1.9000701904296875,0.7494
14,10.224445343017578,19.72073370218277,2.009768009185791,0.75
15,10.267697095870972,17.925620675086975,1.8813385963439941,0.7531
16,10.335622072219849,14.967317819595337,1.876448631286621,0.755
17,10.334044694900513,13.732293739914894,1.9366958141326904,0.7483
18,10.377503871917725,12.295181170105934,1.9287207126617432,0.7585
19,10.305346250534058,10.531323239207268,1.9448575973510742,0.7526
20,10.289658546447754,9.845859110355377,1.9005763530731201,0.7593
21,10.28384017944336,7.703262194991112,1.9159624576568604,0.7667
22,10.252216339111328,7.364998057484627,1.910614252090454,0.7633
23,10.315195322036743,7.160421691834927,1.888800859451294,0.7595
24,10.285568952560425,6.708392560482025,1.939276933670044,0.7582
25,10.300909042358398,5.750960238277912,1.9328351020812988,0.7584
26,10.250925064086914,5.25119786709547,1.955435037612915,0.7548
27,10.24465298652649,5.115539908409119,1.913949728012085,0.759
28,10.288519382476807,5.0358932092785835,1.876438856124878,0.7544
29,10.306850671768188,4.102578219026327,1.97039794921875,0.7586
30,10.314547300338745,3.957459010183811,1.901416301727295,0.7571
